MIRIAM 	61 	58 	78 	69 	75 	89 	75 	73 	71 	87
MOA 	11 	12 	8 	: 	: 	8 	6 	: 	: 	:
MONA 	26 	21 	22 	31 	31 	46 	34 	45 	46 	52
MONICA 	5 	14 	9 	7 	12 	13 	15 	18 	22 	42
MONIKA 	: 	: 	: 	5 	7 	7 	8 	11 	13 	15
NADIA 	14 	21 	26 	16 	18 	15 	23 	31 	27 	28
NADJA 	: 	: 	: 	5 	5 	5 	10 	7 	6 	7
NAJMA 	5 	6 	: 	12 	9 	: 	4 	: 	4 	4
NANNA 	9 	15 	15 	8 	13 	7 	16 	6 	14 	14
NAOMI 	14 	11 	19 	6 	14 	12 	10 	8 	15 	9
NATALIA 	11 	10 	13 	13 	17 	9 	16 	17 	11 	15
NATALIE 	83 	90 	74 	69 	69 	66 	52 	62 	80 	55
NATASHA 	9 	6 	9 	7 	10 	7 	9 	6 	9 	10
NATHALIE 	77 	72 	75 	66 	53 	51 	50 	43 	48 	46
NELLY 	11 	11 	5 	: 	6 	5 	: 	7 	: 	6
NICOLE 	5 	14 	12 	21 	9 	12 	14 	6 	10 	14
NICOLINE 	15 	5 	20 	10 	11 	11 	12 	12 	13 	8
NIKITA 	: 	5 	4 	: 	4 	9 	12 	6 	9 	:
NIKOLINE 	15 	12 	11 	13 	15 	14 	12 	10 	12 	15
NINA 	30 	38 	49 	52 	48 	58 	74 	76 	84 	112
NINNI 	5 	: 	: 	8 	6 	: 	4 	14 	: 	5
NOOR 	: 	10 	7 	9 	4 	7 	6 	5 	6 	4
NORA 	378 	386 	459 	443 	452 	422 	391 	362 	317 	229
NORAH 	22 	17 	22 	9 	5 	: 	: 	: 	: 	:
ODA 	221 	197 	193 	190 	228 	213 	234 	225 	256 	249
OLEA 	11 	9 	6 	7 	: 	: 	5 	6 	: 	:
OLINE 	38 	47 	38 	51 	28 	27 	29 	23 	14 	18
