MAHAD 	: 	: 	4 	10 	: 	: 	9 	: 	4 	4
MARCO 	12 	11 	21 	12 	12 	20 	13 	17 	12 	17
MARCUS 	182 	214 	238 	199 	257 	300 	284 	270 	257 	296
MARIUS 	278 	318 	332 	332 	371 	453 	439 	432 	430 	478
MARK 	: 	: 	4 	4 	: 	4 	: 	10 	5 	8
MARKUS 	229 	311 	286 	289 	315 	358 	356 	395 	417 	379
MARTIN 	390 	409 	506 	493 	531 	546 	596 	654 	635 	651
MARTINIUS 	8 	4 	10 	9 	14 	9 	5 	5 	7 	4
MARTINUS 	10 	10 	9 	12 	5 	4 	10 	12 	9 	5
MATHEO 	19 	16 	: 	4 	: 	: 	: 	: 	: 	:
MATHEUS 	13 	8 	5 	7 	: 	5 	: 	: 	: 	:
MATHIAS 	463 	440 	501 	504 	474 	446 	498 	470 	417 	396
MATIAS 	43 	40 	58 	54 	56 	56 	60 	70 	42 	50
MATS 	133 	171 	197 	189 	184 	173 	221 	206 	202 	196
MATTEO 	10 	8 	6 	6 	: 	: 	4 	: 	: 	:
MATTIAS 	10 	14 	23 	14 	23 	32 	21 	16 	24 	13
MATTIS 	20 	20 	23 	22 	17 	11 	17 	18 	15 	13
MAX 	59 	56 	50 	40 	35 	29 	30 	26 	29 	30
MAXIMILIAN 	10 	18 	9 	12 	6 	9 	12 	15 	9 	5
MICHAEL 	45 	54 	52 	85 	71 	64 	71 	65 	82 	92
MIKA 	7 	9 	9 	13 	5 	5 	6 	11 	5 	:
MIKAEL 	70 	81 	78 	86 	94 	68 	81 	88 	66 	66
MIKAL 	21 	19 	14 	16 	17 	38 	19 	26 	26 	26
MIKKEL 	120 	100 	86 	97 	74 	74 	64 	71 	49 	67
MILAN 	6 	7 	7 	10 	: 	: 	5 	5 	: 	:
MOHAMED 	17 	24 	29 	37 	39 	23 	30 	31 	35 	40
MOHAMMAD 	36 	58 	44 	48 	40 	35 	45 	48 	40 	39
MOHAMMED 	35 	40 	32 	36 	46 	24 	36 	32 	36 	34
MONS 	9 	12 	13 	5 	5 	9 	: 	4 	5 	5
MORGAN 	21 	11 	17 	13 	20 	18 	19 	13 	8 	11
MORTEN 	47 	68 	70 	80 	100 	119 	119 	156 	157 	179
MUHAMMAD 	25 	26 	17 	18 	14 	14 	18 	16 	17 	7
MUHAMMED 	8 	12 	8 	5 	: 	7 	5 	10 	9 	8
MUSTAFA 	8 	12 	15 	15 	16 	15 	13 	19 	12 	17
NATANIEL 	11 	13 	5 	: 	7 	6 	4 	: 	5 	:
NATHANIEL 	23 	24 	26 	23 	14 	21 	12 	13 	13 	4
NICHLAS 	7 	8 	5 	7 	7 	: 	5 	6 	: 	10
NICHOLAS 	47 	45 	58 	34 	38 	37 	33 	35 	33 	23
NICKLAS 	28 	31 	33 	31 	18 	22 	21 	15 	20 	23
NICLAS 	12 	10 	13 	17 	11 	14 	11 	13 	8 	6
NICOLAI 	83 	96 	98 	97 	89 	85 	87 	65 	61 	61
NICOLAS 	21 	21 	20 	41 	29 	24 	23 	13 	16 	18
NICOLAY 	39 	24 	33 	33 	34 	38 	33 	26 	20 	15
NIKLAS 	66 	90 	72 	76 	64 	55 	75 	60 	85 	70
NIKOLAI 	161 	163 	183 	157 	138 	104 	144 	126 	84 	120
NIKOLAS 	27 	20 	13 	14 	14 	13 	: 	16 	23 	10
NIKOLAY 	13 	11 	7 	10 	12 	5 	5 	11 	7 	4
NILS 	39 	49 	41 	50 	53 	48 	62 	55 	68 	61
NJÅL 	7 	5 	5 	10 	7 	11 	18 	7 	8 	8
NOA 	17 	17 	23 	18 	10 	: 	: 	: 	: 	:
NOAH 	284 	261 	216 	165 	105 	86 	34 	14 	11 	12
ODD 	16 	16 	17 	23 	23 	28 	30 	35 	35 	52
ODDBJØRN 	4 	6 	: 	9 	5 	5 	6 	9 	7 	10
ODIN 	114 	112 	110 	120 	73 	84 	82 	60 	58 	72
